date,upro_equity_rebased_usd,futures_equity_rebased_usd,upro_simple_ret,futures_simple_ret,log_ret_diff_fut_minus_upro
2010-12-23,1717323.093126,1858382.827464,-0.00475120,-0.00463894,0.00011279
2010-12-27,1721022.149941,1862228.899495,0.00215397,0.00206958,-0.00008421
2010-12-28,1726269.926593,1866987.097724,0.00304922,0.00255511,-0.00049273
2010-12-29,1730627.305510,1873025.250638,0.00252416,0.00323417,0.00070797
2010-12-30,1722372.062417,1865086.288990,-0.00477009,-0.00423858,0.00053392
2010-12-31,1727628.001217,1864652.426975,0.00305157,-0.00023262,-0.00327957
2011-01-03,1776096.692044,1927552.813584,0.02805505,0.03373304,0.00550784
2011-01-04,1771368.977743,1920118.021610,-0.00266186,-0.00385711,-0.00119917
2011-01-05,1799602.135508,1949464.235023,0.01593861,0.01528355,-0.00064499
2011-01-06,1790203.244151,1937590.161861,-0.00522276,-0.00609094,-0.00087312
2011-01-07,1779271.675650,1927308.373432,-0.00610633,-0.00530648,0.00080444
2011-01-10,1774266.787151,1919826.775299,-0.00281289,-0.00388189,-0.00107259
2011-01-11,1791528.025147,1941740.089457,0.00972866,0.01141421,0.00166792
2011-01-12,1839326.882212,1994348.801932,0.02668050,0.02709359,0.00040228
2011-01-13,1831669.656708,1984746.736304,-0.00416306,-0.00481464,-0.00065452
2011-01-14,1870819.008908,2028249.626553,0.02137359,0.02191861,0.00053347
2011-01-18,1880152.076111,2037014.195677,0.00498876,0.00432125,-0.00066442
2011-01-19,1823833.684255,1975854.518604,-0.02995417,-0.03002418,-0.00007217
2011-01-20,1816971.530058,1968475.107451,-0.00376249,-0.00373479,0.00002780
2011-01-21,1829102.141540,1983382.928511,0.00667628,0.00757328,0.00089066
2011-01-24,1862597.238852,2019021.155315,0.01831232,0.01796840,-0.00033778
2011-01-25,1860552.267642,2020916.363940,-0.00109791,0.00093868,0.00203675
2011-01-26,1889702.432269,2047021.441258,0.01566748,0.01291745,-0.00271128
2011-01-27,1897182.678604,2060998.934398,0.00395843,0.00682821,0.00285439
2011-01-28,1796702.128369,1952250.103175,-0.05296303,-0.05276511,0.00020897
2011-01-31,1837897.808325,1998544.841473,0.02292850,0.02371353,0.00076714
2011-02-01,1923947.826940,2099591.952374,0.04681981,0.05056034,0.00356687
2011-02-02,1914130.874651,2083156.023373,-0.00510250,-0.00782815,-0.00274339
2011-02-03,1928411.534272,2097910.847279,0.00746065,0.00708292,-0.00037500
2011-02-04,1943730.367364,2115905.989687,0.00794376,0.00857765,0.00062870
2011-02-07,1980423.047264,2155708.029860,0.01887745,0.01881087,-0.00006535
2011-02-08,2007914.117627,2182859.389639,0.01388141,0.01259510,-0.00126951
2011-02-09,1992848.021142,2165377.938777,-0.00750336,-0.00800851,-0.00050910
2011-02-10,1994663.801566,2170502.733480,0.00091115,0.00236670,0.00145317
2011-02-11,2032077.533293,2206287.728555,0.01875691,0.01648696,-0.00223064
2011-02-14,2046930.721646,2222134.857340,0.00730936,0.00718271,-0.00012574
2011-02-15,2025033.056019,2201615.236814,-0.01069780,-0.00923419,0.00147835
2011-02-16,2063418.572897,2242326.759423,0.01895550,0.01849166,-0.00045532
2011-02-17,2086513.284480,2263991.997650,0.01119245,0.00966195,-0.00151471
2011-02-18,2096527.820520,2277488.257073,0.00479965,0.00596127,0.00115540
2011-02-22,1967582.080011,2138670.913829,-0.06150443,-0.06095195,0.00058851
2011-02-23,1934127.694534,2099755.151855,-0.01700279,-0.01819624,-0.00121483
2011-02-24,1928162.555178,2093877.336588,-0.00308415,-0.00279929,0.00028570
2011-02-25,1990794.582111,2161960.600068,0.03248275,0.03251540,0.00003162
2011-02-28,2026155.477812,2198542.389774,0.01776220,0.01692066,-0.00082720
2011-03-01,1922166.815809,2096459.755215,-0.05132314,-0.04643196,0.00514255
2011-03-02,1938393.269227,2107345.444080,0.00844175,0.00519241,-0.00322734
2011-03-03,2038032.094779,2218294.550184,0.05140279,0.05264875,0.00118434
2011-03-04,1992794.504026,2170666.271288,-0.02219670,-0.02147067,0.00074223
2011-03-07,1940346.900612,2117053.365710,-0.02631862,-0.02469882,0.00166220
2011-03-08,1994458.215875,2174821.010668,0.02788744,0.02728682,-0.00058450
2011-03-09,1987387.998350,2166494.783021,-0.00354493,-0.00382847,-0.00028458
2011-03-10,1877943.304391,2044982.755005,-0.05506962,-0.05608692,-0.00107718
2011-03-11,1915697.677886,2088754.468197,0.02010411,0.02140444,0.00127390
2011-03-14,1881939.163016,2050338.809326,-0.01762205,-0.01839166,-0.00078372
2011-03-15,1819062.272516,1981842.743643,-0.03341069,-0.03340719,0.00000362
2011-03-16,1715131.090142,1863665.519370,-0.05713448,-0.05962997,-0.00265021
2011-03-17,1779180.842239,1940962.106874,0.03734394,0.04147557,0.00397498
2011-03-18,1801869.066659,1966007.262310,0.01275206,0.01290347,0.00014950
2011-03-21,1883698.530081,2052655.779150,0.04541366,0.04407335,-0.00128291
2011-03-22,1863627.638971,2031106.565250,-0.01065504,-0.01049821,0.00015851
2011-03-23,1881369.262806,2049432.279256,0.00951994,0.00902253,-0.00049284
2011-03-24,1933851.314405,2107418.368777,0.02789567,0.02829373,0.00038719
2011-03-25,1951313.333586,2127452.027043,0.00902966,0.00950626,0.00047222
2011-03-28,1938485.288926,2110762.796758,-0.00657406,-0.00784470,-0.00127987
2011-03-29,1976387.176535,2155062.453375,0.01955232,0.02098751,0.00140668
2011-03-30,2016351.471455,2198584.938112,0.02022088,0.02019546,-0.00002492
2011-03-31,2008219.764917,2187015.606954,-0.00403288,-0.00526217,-0.00123503
2011-04-01,2035882.027487,2219973.821249,0.01377452,0.01506995,0.00127701
2011-04-04,2038731.784023,2222647.283434,0.00139977,0.00120428,-0.00019523
2011-04-05,2038570.757997,2221878.887284,-0.00007898,-0.00034571,-0.00026679
2011-04-06,2056473.861111,2236852.976149,0.00878218,0.00673938,-0.00202707
2011-04-07,2045212.465199,2227290.529504,-0.00547607,-0.00427496,0.00120700
2011-04-08,2021912.763603,2201369.572514,-0.01139231,-0.01163789,-0.00024843
2011-04-11,2001194.073336,2183378.214143,-0.01024707,-0.00817280,0.00209355
2011-04-12,1957027.694158,2132832.826386,-0.02207001,-0.02315008,-0.00110506
2011-04-13,1958829.034492,2134538.356848,0.00092045,0.00079966,-0.00012069
2011-04-14,1959658.180612,2135552.313095,0.00042329,0.00047502,0.00005171
2011-04-15,1980031.968849,2161468.604651,0.01039660,0.01213564,0.00171966
2011-04-18,1914927.761191,2089842.153732,-0.03288038,-0.03313786,-0.00026627
2011-04-19,1950387.736140,2127329.925129,0.01851766,0.01793809,-0.00056919
2011-04-20,2029131.453631,2215603.073350,0.04037337,0.04149481,0.00107734
2011-04-21,2055892.555446,2250608.871517,0.01318845,0.01579967,0.00257391
2011-04-25,2049763.543755,2240428.272788,-0.00298119,-0.00452349,-0.00154810
2011-04-26,2103312.295310,2300101.862535,0.02612436,0.02663490,0.00049743
2011-04-27,2143752.483962,2343558.415819,0.01922691,0.01889332,-0.00032735
2011-04-28,2164323.795491,2368654.393604,0.00959594,0.01070849,0.00110138
2011-04-29,2182945.410991,2385165.128218,0.00860390,0.00697051,-0.00162076
2011-05-02,2168081.371475,2373117.723016,-0.00680917,-0.00505097,0.00176868
2011-05-03,2147025.636806,2349711.644924,-0.00971169,-0.00986301,-0.00015281
2011-05-04,2103163.092605,2302096.447591,-0.02042945,-0.02026427,0.00016860
2011-05-05,2048033.035929,2239503.679974,-0.02621293,-0.02718946,-0.00100333
2011-05-06,2076838.498066,2266316.513574,0.01406494,0.01197267,-0.00206538
2011-05-09,2102045.815798,2298111.855658,0.01213735,0.01402952,0.00186774
2011-05-10,2153560.300224,2354546.513996,0.02450683,0.02455697,0.00004893
2011-05-11,2085307.287802,2277406.464179,-0.03169310,-0.03276217,-0.00110466
2011-05-12,2118720.984645,2311880.028589,0.01602339,0.01513720,-0.00087259
2011-05-13,2063448.227314,2256306.417595,-0.02608779,-0.02403828,0.00210221
2011-05-16,2024505.355321,2213991.333379,-0.01887272,-0.01875414,0.00012085
2011-05-17,2023359.118470,2211313.261252,-0.00056618,-0.00120961,-0.00064400
2011-05-18,2080029.100679,2269800.157659,0.02800787,0.02644894,-0.00151761
2011-05-19,2087993.826297,2284615.624787,0.00382914,0.00652721,0.00268417
2011-05-20,2045548.252250,2234004.383758,-0.02032840,-0.02215307,-0.00186426
2011-05-23,1972656.055148,2155805.187879,-0.03563455,-0.03500405,0.00065359
2011-05-24,1967607.098833,2150916.954627,-0.00255947,-0.00226747,0.00029270
2011-05-25,1987024.591813,2172183.130930,0.00986858,0.00988703,0.00001827
2011-05-26,2010505.863806,2198536.291404,0.01181730,0.01213211,0.00031108
2011-05-27,2036746.218959,2225875.795616,0.01305162,0.01243532,-0.00060854
2011-05-31,2098039.196186,2296119.087423,0.03009358,0.03155760,0.00142024
2011-06-01,1958061.338175,2144882.102290,-0.06671842,-0.06586635,0.00091256
2011-06-02,1951094.189761,2137426.212190,-0.00355819,-0.00347613,0.00008235
2011-06-03,1894580.786296,2074663.064332,-0.02896498,-0.02936389,-0.00041089
2011-06-06,1834411.873144,2008001.646087,-0.03175843,-0.03213120,-0.00038507
2011-06-07,1826817.006316,2002517.146158,-0.00414022,-0.00273132,0.00141375
2011-06-08,1804362.819196,1977113.303270,-0.01229143,-0.01268596,-0.00039952
2011-06-09,1845599.923595,2021461.810612,0.02285411,0.02243094,-0.00041380
2011-06-10,1767895.684134,1938072.077111,-0.04210243,-0.04125219,0.00088721
2011-06-13,1771401.262513,1941045.699510,0.00198291,0.00153432,-0.00044780
2011-06-14,1839566.315718,2016103.616729,0.03848087,0.03866880,0.00018096
2011-06-15,1743262.360091,1912112.995431,-0.05235145,-0.05158000,0.00081373
2011-06-16,1753039.019040,1922881.070676,0.00560825,0.00563151,0.00002312
2011-06-17,1767372.713248,1941209.457579,0.00817648,0.00953173,0.00134335
2011-06-20,1797225.217764,1973529.167274,0.01689089,0.01664926,-0.00023764
2011-06-21,1870596.342780,2053787.717409,0.04082467,0.04066753,-0.00015099
2011-06-22,1837438.982112,2015345.438345,-0.01772556,-0.01871775,-0.00101061
2011-06-23,1818844.748041,1998833.222216,-0.01011965,-0.00819324,0.00194421
2011-06-24,1758801.420458,1929370.295755,-0.03301179,-0.03475174,-0.00180096
2011-06-27,1803249.744386,1983945.441123,0.02527194,0.02828651,0.00293595
2011-06-28,1872484.513017,2061374.345458,0.03839444,0.03902774,0.00060969
2011-06-29,1922598.508037,2111801.824469,0.02676337,0.02446304,-0.00224289
2011-06-30,1977461.815648,2176275.012643,0.02853602,0.03052994,0.00193673
2011-07-01,2066787.309878,2269089.849864,0.04517179,0.04264849,-0.00241717
2011-07-05,2056509.616122,2260379.466150,-0.00497279,-0.00383871,0.00113909
2011-07-06,2065434.085227,2267739.847276,0.00433962,0.00325626,-0.00107926
2011-07-07,2133074.372937,2339775.456276,0.03274870,0.03176538,-0.00095260
2011-07-08,2089501.328323,2292351.966509,-0.02042734,-0.02026839,0.00016225
2011-07-11,1973128.643612,2168841.743829,-0.05569400,-0.05387926,0.00191993
2011-07-12,1946502.570244,2140334.575056,-0.01349434,-0.01314396,0.00035511
2011-07-13,1966770.105659,2161064.000452,0.01041228,0.00968513,-0.00071992
2011-07-14,1928455.489441,2117802.326510,-0.01948098,-0.02001869,-0.00054854
2011-07-15,1960183.818538,2154330.764256,0.01645272,0.01724828,0.00078238
2011-07-18,1910245.592090,2101793.556056,-0.02547630,-0.02438679,0.00111737
2011-07-19,2003185.297074,2207629.632648,0.04865328,0.05035512,0.00162157
2011-07-20,2003036.383782,2203766.893148,-0.00007434,-0.00174972,-0.00167691
2011-07-21,2083084.817005,2293184.359354,0.03996354,0.04057483,0.00058762
2011-07-22,2088014.706500,2299913.237730,0.00236663,0.00293429,0.00056616
2011-07-25,2052237.618861,2261259.995665,-0.01713450,-0.01680639,0.00033377
2011-07-26,2025930.575832,2233377.048248,-0.01281871,-0.01233071,0.00049421
2011-07-27,1905099.424107,2094503.645656,-0.05964230,-0.06218090,-0.00270327
2011-07-28,1888695.597746,2074476.208434,-0.00861048,-0.00956190,-0.00096014
2011-07-29,1844792.278605,2034007.322089,-0.02324531,-0.01950800,0.00381895
2011-08-01,1824987.998002,2008439.353683,-0.01073524,-0.01257024,-0.00185664
2011-08-02,1688275.173608,1854154.444809,-0.07491163,-0.07681831,-0.00206320
2011-08-03,1713639.517500,1882553.656074,0.01502382,0.01531653,0.00028833
2011-08-04,1472988.218676,1614816.449579,-0.14043286,-0.14222023,-0.00208154
2011-08-05,1527055.374651,1614418.080228,0.03670576,-0.00024670,-0.03629488
2011-08-08,1497572.909419,1582929.684042,-0.01930674,-0.01950449,-0.00020166
2011-08-09,1536453.441501,1624029.642285,0.02596236,0.02596449,0.00000207
2011-08-10,1505911.209130,1591743.803810,-0.01987840,-0.01988008,-0.00000172
2011-08-11,1527473.101159,1614536.597497,0.01431817,0.01431939,0.00000120
