date,close,name,source
1985-10-29,115.4,NDX,nasdaq-giw(close)
1985-10-30,115.77,NDX,nasdaq-giw(close)
1985-10-31,115.48,NDX,nasdaq-giw(close)
1985-11-01,116.28,NDX,nasdaq-giw(close)
1985-11-04,116.04,NDX,nasdaq-giw(close)
1985-11-05,116.44,NDX,nasdaq-giw(close)
1985-11-06,117.38,NDX,nasdaq-giw(close)
1985-11-07,117.62,NDX,nasdaq-giw(close)
1985-11-08,119.26,NDX,nasdaq-giw(close)
1985-11-11,120.4,NDX,nasdaq-giw(close)
1985-11-12,121.82,NDX,nasdaq-giw(close)
1985-11-13,121.17,NDX,nasdaq-giw(close)
1985-11-14,121.83,NDX,nasdaq-giw(close)
1985-11-15,122.17,NDX,nasdaq-giw(close)
1985-11-18,121.95,NDX,nasdaq-giw(close)
1985-11-19,122.57,NDX,nasdaq-giw(close)
1985-11-20,122.2,NDX,nasdaq-giw(close)
1985-11-21,123.61,NDX,nasdaq-giw(close)
1985-11-22,123.97,NDX,nasdaq-giw(close)
1985-11-25,123.14,NDX,nasdaq-giw(close)
1985-11-26,123.95,NDX,nasdaq-giw(close)
1985-11-27,125.77,NDX,nasdaq-giw(close)
1985-11-29,126.06,NDX,nasdaq-giw(close)
1985-12-02,125.19,NDX,nasdaq-giw(close)
1985-12-03,125.23,NDX,nasdaq-giw(close)
1985-12-04,127.94,NDX,nasdaq-giw(close)
1985-12-05,128.46,NDX,nasdaq-giw(close)
1985-12-06,126.95,NDX,nasdaq-giw(close)
1985-12-09,127.48,NDX,nasdaq-giw(close)
1985-12-10,127.97,NDX,nasdaq-giw(close)
1985-12-11,129.18,NDX,nasdaq-giw(close)
1985-12-12,129.76,NDX,nasdaq-giw(close)
1985-12-13,132.13,NDX,nasdaq-giw(close)
1985-12-16,132.91,NDX,nasdaq-giw(close)
1985-12-17,131.53,NDX,nasdaq-giw(close)
1985-12-18,131.14,NDX,nasdaq-giw(close)
1985-12-19,131.93,NDX,nasdaq-giw(close)
1985-12-20,132.26,NDX,nasdaq-giw(close)
1985-12-23,130.72,NDX,nasdaq-giw(close)
1985-12-24,130.03,NDX,nasdaq-giw(close)
1985-12-26,130.34,NDX,nasdaq-giw(close)
1985-12-27,131.49,NDX,nasdaq-giw(close)
1985-12-30,131.94,NDX,nasdaq-giw(close)
1985-12-31,132.29,NDX,nasdaq-giw(close)
