date,adj_close,name,source
2015-11-13,7.31303,SSO,tiingo
2015-11-16,7.53392,SSO,tiingo
2015-11-17,7.51738,SSO,tiingo
2015-11-18,7.76308,SSO,tiingo
2015-11-19,7.7489,SSO,tiingo
2015-11-20,7.8056,SSO,tiingo
2015-11-23,7.78906,SSO,tiingo
2015-11-24,7.80678,SSO,tiingo
2015-11-25,7.80796,SSO,tiingo
2015-11-27,7.82096,SSO,tiingo
2015-11-30,7.75953,SSO,tiingo
2015-12-01,7.90601,SSO,tiingo
2015-12-02,7.743,SSO,tiingo
2015-12-03,7.52211,SSO,tiingo
2015-12-04,7.81623,SSO,tiingo
2015-12-07,7.72055,SSO,tiingo
2015-12-08,7.61897,SSO,tiingo
2015-12-09,7.49848,SSO,tiingo
2015-12-10,7.53746,SSO,tiingo
2015-12-11,7.23743,SSO,tiingo
2015-12-14,7.31893,SSO,tiingo
2015-12-15,7.47486,SSO,tiingo
2015-12-16,7.68748,SSO,tiingo
2015-12-17,7.46304,SSO,tiingo
2015-12-18,7.18073,SSO,tiingo
2015-12-21,7.3024,SSO,tiingo
2015-12-22,7.43512,SSO,tiingo
2015-12-23,7.6164,SSO,tiingo
2015-12-24,7.5856,SSO,tiingo
2015-12-28,7.5619,SSO,tiingo
2015-12-29,7.7183,SSO,tiingo
2015-12-30,7.61522,SSO,tiingo
2015-12-31,7.46474,SSO,tiingo
2016-01-04,7.25027,SSO,tiingo
2016-01-05,7.28227,SSO,tiingo
2016-01-06,7.08676,SSO,tiingo
2016-01-07,6.74895,SSO,tiingo
2016-01-08,6.60452,SSO,tiingo
2016-01-11,6.60807,SSO,tiingo
2016-01-12,6.71115,SSO,tiingo
2016-01-13,6.38176,SSO,tiingo
2016-01-14,6.5903,SSO,tiingo
2016-01-15,6.30474,SSO,tiingo
2016-01-19,6.32014,SSO,tiingo
2016-01-20,6.17085,SSO,tiingo
2016-01-21,6.23483,SSO,tiingo
2016-01-22,6.48721,SSO,tiingo
2016-01-25,6.29645,SSO,tiingo
2016-01-26,6.45878,SSO,tiingo
2016-01-27,6.32251,SSO,tiingo
2016-01-28,6.39005,SSO,tiingo
2016-01-29,6.69101,SSO,tiingo
2016-02-01,6.69694,SSO,tiingo
2016-02-02,6.44574,SSO,tiingo
2016-02-03,6.52631,SSO,tiingo
2016-02-04,6.54527,SSO,tiingo
2016-02-05,6.30237,SSO,tiingo
2016-02-08,6.12701,SSO,tiingo
2016-02-09,6.12108,SSO,tiingo
2016-02-10,6.11398,SSO,tiingo
2016-02-11,5.96468,SSO,tiingo
2016-02-12,6.20178,SSO,tiingo
2016-02-16,6.40655,SSO,tiingo
2016-02-17,6.61873,SSO,tiingo
2016-02-18,6.56541,SSO,tiingo
2016-02-19,6.55831,SSO,tiingo
2016-02-22,6.7467,SSO,tiingo
2016-02-23,6.58674,SSO,tiingo
2016-02-24,6.64243,SSO,tiingo
2016-02-25,6.80121,SSO,tiingo
2016-02-26,6.76921,SSO,tiingo
2016-02-29,6.64954,SSO,tiingo
2016-03-01,6.97775,SSO,tiingo
2016-03-02,7.04055,SSO,tiingo
2016-03-03,7.08913,SSO,tiingo
2016-03-04,7.13179,SSO,tiingo
2016-03-07,7.15311,SSO,tiingo
2016-03-08,6.9896,SSO,tiingo
2016-03-09,7.06069,SSO,tiingo
2016-03-10,7.0678,SSO,tiingo
2016-03-11,7.30241,SSO,tiingo
2016-03-14,7.27753,SSO,tiingo
2016-03-15,7.26212,SSO,tiingo
2016-03-16,7.34506,SSO,tiingo
2016-03-17,7.43393,SSO,tiingo
2016-03-18,7.49436,SSO,tiingo
2016-03-21,7.51332,SSO,tiingo
2016-03-22,7.50384,SSO,tiingo
2016-03-23,7.41059,SSO,tiingo
2016-03-24,7.40109,SSO,tiingo
2016-03-28,7.40702,SSO,tiingo
2016-03-29,7.5531,SSO,tiingo
2016-03-30,7.61367,SSO,tiingo
2016-03-31,7.57923,SSO,tiingo
2016-04-01,7.67661,SSO,tiingo
2016-04-04,7.62792,SSO,tiingo
2016-04-05,7.47709,SSO,tiingo
2016-04-06,7.63386,SSO,tiingo
2016-04-07,7.45097,SSO,tiingo
2016-04-08,7.49728,SSO,tiingo
2016-04-11,7.4569,SSO,tiingo
2016-04-12,7.6006,SSO,tiingo
2016-04-13,7.74786,SSO,tiingo
2016-04-14,7.74905,SSO,tiingo
2016-04-15,7.72768,SSO,tiingo
2016-04-18,7.83812,SSO,tiingo
2016-04-19,7.88444,SSO,tiingo
2016-04-20,7.90225,SSO,tiingo
2016-04-21,7.81556,SSO,tiingo
2016-04-22,7.82268,SSO,tiingo
2016-04-25,7.78705,SSO,tiingo
2016-04-26,7.81556,SSO,tiingo
2016-04-27,7.84851,SSO,tiingo
2016-04-28,7.70986,SSO,tiingo
2016-04-29,7.62435,SSO,tiingo
2016-05-02,7.73836,SSO,tiingo
2016-05-03,7.60417,SSO,tiingo
2016-05-04,7.5151,SSO,tiingo
2016-05-05,7.52103,SSO,tiingo
2016-05-06,7.56973,SSO,tiingo
2016-05-09,7.58754,SSO,tiingo
2016-05-10,7.76805,SSO,tiingo
2016-05-11,7.62673,SSO,tiingo
2016-05-12,7.63148,SSO,tiingo
2016-05-13,7.49728,SSO,tiingo
2016-05-16,7.64217,SSO,tiingo
2016-05-17,7.5056,SSO,tiingo
2016-05-18,7.50797,SSO,tiingo
2016-05-19,7.45572,SSO,tiingo
2016-05-20,7.54122,SSO,tiingo
2016-05-23,7.52222,SSO,tiingo
2016-05-24,7.7158,SSO,tiingo
2016-05-25,7.81674,SSO,tiingo
2016-05-26,7.82506,SSO,tiingo
2016-05-27,7.88919,SSO,tiingo
2016-05-31,7.86662,SSO,tiingo
2016-06-01,7.89869,SSO,tiingo
2016-06-02,7.945,SSO,tiingo
2016-06-03,7.89513,SSO,tiingo
2016-06-06,7.97945,SSO,tiingo
2016-06-07,7.99963,SSO,tiingo
2016-06-08,8.0507,SSO,tiingo
2016-06-09,8.02932,SSO,tiingo
2016-06-10,7.88087,SSO,tiingo
2016-06-13,7.75737,SSO,tiingo
2016-06-14,7.72768,SSO,tiingo
2016-06-15,7.70274,SSO,tiingo
2016-06-16,7.75143,SSO,tiingo
2016-06-17,7.68967,SSO,tiingo
2016-06-20,7.78705,SSO,tiingo
2016-06-21,7.83218,SSO,tiingo
2016-06-22,7.8057,SSO,tiingo
2016-06-23,8.00548,SSO,tiingo
2016-06-24,7.43944,SSO,tiingo
2016-06-27,7.16236,SSO,tiingo
2016-06-28,7.41922,SSO,tiingo
2016-06-29,7.67846,SSO,tiingo
2016-06-30,7.87943,SSO,tiingo
2016-07-01,7.91629,SSO,tiingo
2016-07-05,7.80451,SSO,tiingo
2016-07-06,7.89727,SSO,tiingo
2016-07-07,7.88418,SSO,tiingo
2016-07-08,8.12083,SSO,tiingo
2016-07-11,8.18148,SSO,tiingo
2016-07-12,8.29802,SSO,tiingo
2016-07-13,8.29326,SSO,tiingo
2016-07-14,8.38482,SSO,tiingo
2016-07-15,8.36699,SSO,tiingo
2016-07-18,8.41099,SSO,tiingo
